Comunidades Autonomas;Naturaleza de la finca;Número e importe;Periodo;Total;
Total Nacional;Total fincas;Número de hipotecas;2023M12;32734;
Total Nacional;Total fincas;Número de hipotecas;2023M11;43009;
Total Nacional;Total fincas;Número de hipotecas;2023M10;41142;
Total Nacional;Total fincas;Número de hipotecas;2023M09;39968;
Total Nacional;Total fincas;Número de hipotecas;2023M08;36320;
Total Nacional;Total fincas;Número de hipotecas;2023M07;37701;
Total Nacional;Total fincas;Número de hipotecas;2023M06;43538;
Total Nacional;Total fincas;Número de hipotecas;2023M05;44297;
Total Nacional;Total fincas;Número de hipotecas;2023M04;35621;
Total Nacional;Total fincas;Número de hipotecas;2023M03;47459;
Total Nacional;Total fincas;Número de hipotecas;2023M02;46934;
Total Nacional;Total fincas;Número de hipotecas;2023M01;48501;
Total Nacional;Total fincas;Número de hipotecas;2022M12;39493;
Total Nacional;Total fincas;Número de hipotecas;2022M11;52716;
Total Nacional;Total fincas;Número de hipotecas;2022M10;53707;
Total Nacional;Total fincas;Número de hipotecas;2022M09;56939;
Total Nacional;Total fincas;Número de hipotecas;2022M08;47974;
Total Nacional;Total fincas;Número de hipotecas;2022M07;47304;
Total Nacional;Total fincas;Número de hipotecas;2022M06;56099;
Total Nacional;Total fincas;Número de hipotecas;2022M05;57074;
Total Nacional;Total fincas;Número de hipotecas;2022M04;43817;
Total Nacional;Total fincas;Número de hipotecas;2022M03;57139;
Total Nacional;Total fincas;Número de hipotecas;2022M02;49183;
Total Nacional;Total fincas;Número de hipotecas;2022M01;47211;
Total Nacional;Total fincas;Número de hipotecas;2021M12;43778;
Total Nacional;Total fincas;Número de hipotecas;2021M11;49369;
Total Nacional;Total fincas;Número de hipotecas;2021M10;48792;
Total Nacional;Total fincas;Número de hipotecas;2021M09;55768;
Total Nacional;Total fincas;Número de hipotecas;2021M08;43257;
Total Nacional;Total fincas;Número de hipotecas;2021M07;46420;
Total Nacional;Total fincas;Número de hipotecas;2021M06;50121;
Total Nacional;Total fincas;Número de hipotecas;2021M05;47769;
Total Nacional;Total fincas;Número de hipotecas;2021M04;43241;
Total Nacional;Total fincas;Número de hipotecas;2021M03;49490;
Total Nacional;Total fincas;Número de hipotecas;2021M02;42850;
Total Nacional;Total fincas;Número de hipotecas;2021M01;37355;
Total Nacional;Total fincas;Número de hipotecas;2020M12;36007;
Total Nacional;Total fincas;Número de hipotecas;2020M11;39501;
