"","Comunidades Autonomas","Total2023","Total2009"
"1","01 Andalucía",10014,16971
"2","02 Aragón",1040,2354
"3","03 Asturias, Principado de",1191,2194
"4","04 Balears, Illes",1173,2417
"5","05 Canarias",1808,3863
"6","06 Cantabria",572,1353
"7","07 Castilla y León",1937,5895
"8","08 Castilla - La Mancha",2093,3358
"9","09 Cataluña",8511,10468
"10","10 Comunitat Valenciana",5911,11016
"11","11 Extremadura",895,1785
"12","12 Galicia",1672,4416
"13","13 Madrid, Comunidad de",7042,9145
"14","14 Murcia, Región de",1375,4951
"15","15 Navarra, Comunidad Foral de",610,774
"16","16 País Vasco",2272,3379
"17","17 Rioja, La",262,1024
"18","18 Ceuta",65,134
"19","19 Melilla",58,45
